Title,Artists,Location
Color Coded,Art Nouveau (11),L102
Mark Ashton,Mark Ashton,L102
Air Raid,Air Raid,L101
Ambrosia,Ambrosia (2),L101
This Is Not The Late Show,Arms Akimbo,L102
Bedtime Stories,David Baerwald,L103
Bedtime Stories,David Baerwald,L103 Promo
Michael Anderson,Michael Anderson (5),L101
The Rain Book,Renée Armand,L102
Less Than The Song,Hoyt Axton,L103
Big Red Rock,Ayers Rock (2),L103
(Let's) Rock 'N' Roll,Atlantic Starr,L101
Run To You,Bryan Adams,L101
Living Together,Burt Bacharach,L103
Life Machine,Hoyt Axton,L103
Burt Bacharach's Greatest Hits,Burt Bacharach,L103
Woman,"Burt Bacharach, Houston Symphony Orchestra",L103
Come From The Shadows,Joan Baez,L103
Whatever's For Us,Joan Armatrading,L102
Whatever's For Us,Joan Armatrading,L102
Sunlight Shinin',"Arthur, Hurley & Gottlieb",L102
Southbound,Hoyt Axton,L103
Beyond,Ayers Rock (2),L103
Fearless,Hoyt Axton,L103
Happy In Hollywood,David Batteau,L103
Joan Armatrading,Joan Armatrading,L102
Chords Of Fame,Phil Ochs,L141
Gulf Winds,Joan Baez,L103
Futures,Burt Bacharach,L103
Road Songs,Hoyt Axton,L103
To The Limit,Joan Armatrading,L102
To The Limit,Joan Armatrading,L102
Do A Runner,Athletico Spizz 80,L102
Do A Runner,Athletico Spizz 80,L102
Do A Runner,Athletico Spizz 80,L102
BGM,Yellow Magic Orchestra,L165
"You Want It, You Got It",Bryan Adams,L101
The Key,Joan Armatrading,L102
Cuts Like A Knife,Bryan Adams,L101
Track Record,Joan Armatrading,L102
Track Record,Joan Armatrading,L102
Sound Alarm,Michael Anderson (5),L101
Suspicion,Lisa Bade,L103
Show Some Emotion,Joan Armatrading,L102
Secret Secrets,Joan Armatrading,L102
Sleight Of Hand,Joan Armatrading,L102
How Cruel,Joan Armatrading,L102
From Every Stage,Joan Baez,L103
From Every Stage,Joan Baez,L103 2nd Copy
Back To The Night,Joan Armatrading,L102
Me Myself I,Joan Armatrading,L102
Me Myself I,Joan Armatrading,L102
The Shouting Stage,Joan Armatrading,L102
Burning The Ballroom Down,The Amazing Rhythm Aces,L101
Amazing Rhythm Aces,The Amazing Rhythm Aces,L101
Amazing Rhythm Aces,The Amazing Rhythm Aces,L101
Toucan Do It Too,The Amazing Rhythm Aces,L101
Toucan Do It Too,The Amazing Rhythm Aces,L101
"Yes We Have No Mañanas, So Get Your Mañanas Today",Kevin Ayers,L103
Stacked Deck,The Amazing Rhythm Aces,L101
Sweet America,Buffy Sainte-Marie,L150
Apple & Appleberry,Apple & Appleberry,L102
Too Stuffed To Jump,The Amazing Rhythm Aces,L101
My Heart Sings,Paul Anka,L102
Wild Sun,999,L160 broken :( .... but you can play the last song!
Play Polkas,101 Strings,Polka might as well be classical
Entities,Amazing Grace (4),L101
The American Dream,The American Dream,L101
Five-A-Side,Ace (7),L101
No Strings,Ace (7),L101
Italian Concerto - Chromatic Fantasia And Fugue - Partita In B Flat Major - Toccata In D Major,"Johann Sebastian Bach, Wanda Landowska","Classical, Bach"
Dog Days,Aimless Device,L101
Love Not Far Removed From Madness,ApeX (24),L102
Let It Be,The Beatles,7”
Band On The Run,Wings (2),"Moved to M, catalog shelf when you get there"
Rave On,Artful Dodger (3),L102
Rave On,Artful Dodger (3),L102
Even Now,Barry Manilow,L132
Strangers In The Wind,Bay City Rollers,L103
The A's,The A's,L101
Lost In Love,Air Supply,L101
You Don't Believe,The Alan Parsons Project,L101
Be True To You,Eric Andersen (2),L101
Life Is You,Batdorf & Rodney,L103
Tryin' To Get The Feeling,Barry Manilow,Pop
Sweet Surprise,Eric Andersen (2),L101
Bandit,Bandit (15),L103
The Best Songs,Eric Andersen (2),L101
The Best Songs,Eric Andersen (2),L101
A Woman's Got The Power,The A's,L101
Walk Away Renée,Baby Grand (3),L103
Baila / The Moon Is The Daughter Of The Devil,Love Childs Afro Cuban Blues Band,L101
Greatest Hits,Air Supply,L101
Mad Love,Linda Ronstadt,L148
Foreign Affairs,Tom Waits,L162
Batdorf & Rodney,Batdorf & Rodney,L103
Byrds,"Gene Clark, Chris Hillman, David Crosby, Roger McGuinn, Michael Clarke",L107
Beginnings,The Allman Brothers Band,L101
Definitely What!,Brian Auger & The Trinity,L103
Air Force 2,Ginger Baker's Air Force,L103
The Compleat Angler,Jon Astley,L102
St. Elmo's Fire (Original Motion Picture Soundtrack),Various,Soundtracks
Put This Love To The Test,Jon Astley,L102
Truth Is Fallen,Dave Brubeck,"upstairs, classical"
Waterloo,"ABBA, Björn & Benny, Agnetha & Anni-Frid",L101
Olias Of Sunhillow,Jon Anderson,L101
Arrival,ABBA,L101
Jay Boy Adams,Jay Boy Adams,L101
The Album,ABBA,L101
Fork In The Road,Jay Boy Adams,L101
Live At Montreux,The Atlantic Family,L102 SAMPLER EDITTED PRESSING
Room To Grow,Barnaby Bye,L103
Apple Pie,Apple Pie Motherhood Band,L102
The Assembled Multitude,The Assembled Multitude,L102
Off The Shelf,Batdorf & Rodney,L103
The Apple Pie Motherhood Band,Apple Pie Motherhood Band,L102
Platoon (Original Motion Picture Soundtrack),Various,Soundtracks
Fragile,Yes,L165
Heatseeker,AC/DC,L101
Warmer Communications,Average White Band,L103
If I Could Only Remember My Name,David Crosby,Rock
Pump The Nation,Attitude,L102
Badlands,Badlands (2),L103
Paul Anka Live,Paul Anka,L102
White Night (Stars Say Go),Adult Net,L101
The Axeman's Jazz,The Beasts Of Bourbon,L104
Baby Rasta,Algae Afterbirth,L101
Aim For The Highest,Aim (13),L101
Ferret In A China Shop...,William A. Van Atwell III,L102
Too Much To Dream,Stiv Bators,L103
Double Veteran,Animal Time,L102
Jacked Up? No More,Animal Time,L102
"Music Of ""South Pacific"" And ""Oklahoma"" ","John Senati, The Bravo Pops Symphony Orchestra","Upstairs, classical"
Carl And The Passions – So Tough / Pet Sounds,The Beach Boys,L103
I've Made Up My Mind,Herman Adelsohn,L101
Paul Anka,Paul Anka,L102
Ups And Downs,Len Barry,L103
Theme From An Imaginary Midget Western,Adrenalin O.D.,L101
Cruising With Elvis In Bigfoot's U.F.O.,Adrenalin O.D.,L101
Promise,The Arms Of Someone New,L102
Every Seventh Wave,The Arms Of Someone New,L102
The Perfect Dream,Area (4),L102
Archie Whitewater,Archie Whitewater,L102
"Fun, Fun, Fun",The Beach Boys,L103
Best Of The Beach Boys,The Beach Boys,L103
And I Love Her,The Lettermen,L131
20/20,The Beach Boys,L103
Surfer Girl,The Beach Boys,L103
Little Deuce Coupe,The Beach Boys,L103
Concert,The Beach Boys,L103
Cahoots,The Band,L103
Joy To The World,Hoyt Axton,L103
Silent Letter,America (2),L101
Alibi,America (2),L101
Loving Me Lately,Aslan,L102
Animal Grace,April Wine,L102
Bankrupt,Dr. Hook,L115
Northern Lights - Southern Cross,The Band,L103
Texas Gold,Asleep At The Wheel,L102
Honky Tonk Heaven Is A Hell Of A Place To Be,Larry Ballard,L103
Can You Feel It,Bill Amesbury,L101
Beach Boys '69,The Beach Boys,L103
The Wheel,Asleep At The Wheel,L102
Come Softly,Barooga,L103
Served Live,Asleep At The Wheel,L102
Harder.....Faster,April Wine,L102
Power Play,April Wine,L102
The Distance,Bob Seger And The Silver Bullet Band,L151
Your Move,America (2),L101
Private Dancer,Tina Turner,L159
Band Of Gypsys,Jimi Hendrix,L123
So Red The Rose,Arcadia (3),L102
Spirit Of America,The Beach Boys,L103
Collision Course,Asleep At The Wheel,L102
First Glance,April Wine,L102
First Glance,April Wine,L102
Stage Fright,The Band,L103
Kid's Stuff,Babe Ruth,L103
Magical Mystery Tour,The Beatles,L104 2 copies
Waiting In The Wings,Larry Ballard,L103
Dish,Asexuals,L102
Keepin' The Summer Alive,The Beach Boys,L104
Jus' A Taste Of The Kid,Bill Amesbury,L101
Good To Be Alive,Long John Baldry,L103
Welcome To Club Casablanca,Long John Baldry,L103
Look Out,Bad News Travels Fast,L103
Tempest (Original Music From The Motion Picture Soundtrack),Stomu Yamash'ta,Soundtracks
I Engineer,Animotion,L102
Look Out,Bad News Travels Fast,L103
Fugue In Cow Minor,Baby Opaque,L103
Live Off The Board,Amjam,L101
Isaac Stern Plays And Conducts Vivaldi The Four Seasons,"Antonio Vivaldi, Isaac Stern, Jerusalem Music Center Chamber Orchestra","Upstairs, classical"
Apsaras,Apsaras,L102
Children Of The Sunshine / Journey With The Wind,Apsaras,L102
Brighton Bomb,Angelic Upstarts,L102
Peter Gunn,"The Art Of Noise, Duane Eddy",L102
Nobody / Rock On,Toni Basil,L103
Can U Deliver,Armored Saint,L102
On The Edge,The Babys,L103
The Babys,The Babys,L103
Broken Heart,The Babys,L103
Glider,Auracle (2),L103
Head First,The Babys,L103
Head First,The Babys,L103 Promo Copy (2nd)
City Slickers,Auracle (2),L103
Union Jacks,The Babys,L103
Toni Basil,Toni Basil,L103
Over The Edge,Armored Saint,L102
WCBS FM101 History Of Rock - The 60's Part 4,Various,Soundtracks
WCBS FM101 History Of Rock The 50's Part 1,Various,Soundtracks
WCBS FM101 History Of Rock - The 60's,Various,Soundtracks
WCBS FM101 History Of Rock - The 60's Part 2,Various,Soundtrack
WCBS FM 101 History of Rock The 60's Part 5,Various,Soundtracks
Greatest Hits Volume I & Volume II,Billy Joel,L126
Self Portrait,Bob Dylan,L116
Automanikk,A Guy Called Gerald,L101
Sunrise,Chet Atkins,L102
(Untitled),The Byrds,L107
Devil Woman,Marty Robbins,L132
Devil Woman,Marty Robbins,L132
The Third Album,Barbra Streisand,L155
Sounds Of Silence,Simon & Garfunkel,L152
You Don't Have To Say You Love Me,Jerry Vale,L159
My Griffin Is Gone,Hoyt Axton,L103
Appaloosa,Appaloosa (3),L102
Night In The Ruts,Aerosmith,L101
Aerosmith's Greatest Hits,Aerosmith,L101
Quinella,Atlanta Rhythm Section,L102
Toto IV,Toto,"L158 (see ""TOTO"" post it note)"
Love And Other Bruises,Air Supply,L101
Airborne,Airborne (6),L101
The Beat,Paul Collins' Beat,L104
Abraxas,Santana,L102
Big Sur Festival - One Hand Clapping,Various,closet
We've Got To Get It On Again,Addrisi Brothers,L101
Live Concert At The Forum,Barbra Streisand,L155
Aerosmith,Aerosmith,L101
Five & Dime,David Ackles,L101
Get Your Wings,Aerosmith,L101
Branded Bad,American Tears,L101
"Jose ""Chepito"" Areas","José ""Chepito"" Areas",L102
"I'm Sorry For You, My Friend",Moe Bandy,L103
Bare,Bobby Bare,L103
Arrives,R.C. Bannon,L103
Bob Dylan,Bob Dylan,L116
Bob Dylan's Greatest Hits,Bob Dylan,L115
Bridge Over Troubled Water,Simon & Garfunkel,L120
Bob Dylan's Greatest Hits Volume II,Bob Dylan,L116
Wish You Were Here,Pink Floyd,L143 No sleeve or jacket
Toys In The Attic,Aerosmith,L101
Born To Run,Bruce Springsteen,L153
Tear Gas,American Tears,L101
"""Rocks""",Aerosmith,L101
Powerhouse,American Tears,L101
Rock In A Hard Place,Aerosmith,L101
Live Bootleg,Aerosmith,L101
Born In The U.S.A.,Bruce Springsteen,L153
120 Music Masterpieces,Various,"Upstairs, classical"
120 Music Masterpieces,Various,"Upstairs, classical"
120 Music Masterpieces,Various,"Upstairs, classical"
30 Piano Masterpieces,Various,"Classical, upstairs"
Show Time On Broadway,Edie Adams,L101
"The New CBS Audio-File Sound Effects Library, Vol. Two",No Artist,sound effects?
Restless Eyes,Janis Ian,L125
Blue River,Eric Andersen (2),L101
The Stranger,Billy Joel,L126
Artful Dodger,Artful Dodger (3),L102
The Million Dollar Sound Of The World's Most Precious Violins Volume 1,Enoch Light And His Orchestra,L117
Roman Guitar,Tony Mottola And His Orchestra,a roman guitar might as well be classical
Provocative Percussion Vol. 3,Enoch Light And The Light Brigade,Classical
Provocative Percussion Vol. 3,Enoch Light And The Light Brigade,Classical
Stereo 35/MM,Enoch Light And His Orchestra,"classical under ""enoch"""
Persuasive Percussion Volume 2,Terry Snyder And The All Stars,L153
Big Bold And Brassy Percussion In Brass,Enoch Light And The Light Brigade,cart of homeless records
4 Complete Symphonies,"Johannes Brahms, William Steinberg, The Pittsburgh Symphony Orchestra","Upstairs, classical"
Something Wonderful,The Ray Charles Singers,Two of them
Persuasive Percussion - Volume 4,"Enoch Light, The Command All-Stars",L117
Under Towers,Arson Garden,L102
The Age Of Mouse,Doug Ashdown,L102
Beast,Beast (10),L104
It's All Balcones Fault,Balcones Fault,L103
Poor & Famous,The Beat Farmers,L104
Arkade Funk,Tilt (6),L102
Attitudes,Attitudes,L102
Featuring: I Can't Quit Her - The Letter,The Arbors,L102
Venus,Frankie Avalon,L103
American Eagle,American Eagle,L101
Atlanta Rhythm Section,Atlanta Rhythm Section,L102
Bright City,Miller Anderson,L101
"Piano Concertos No. 17 In G Major, K. 453 - No. 21 In C Major, K. 467","Wolfgang Amadeus Mozart, Géza Anda, Camerata Academica Salzburg","Upstairs, classical"
The New Pollution,Beck,THISIS THE WORST SHIT I HAVE EVER HEARD!! IT SUCKS!!!
Lady Sings The Blues,Diana Ross,soundtracks
John Fitzgerald Kennedy 1917-1963 (A Memorial Album),John F. Kennedy,"upstairs, spoken word shelf"
Cha Cha Cha,Art Mooney (2),World Music
Surprise Party For Dancing,Jerry Meadows And His Orchestra,"soundtrack under ""meadows"""
The Sensational Ink Spots,The Ink Spots,upstairs jazz/funk/soul section
Amor - 10 Grandes De La Nueva Cancion,Various,Ecuador
Walt Disney Presents The Legend Of Sleepy Hollow · The Legend Of Rip Van Winkle,Unknown Artist,Soundtracks
Mulgrave Street,Amazing Blondel,L101
One Of The Boys,Andrew Paul Adams,L101
Inspiration,Amazing Blondel,L101
Leave My Heart,The Accelerators,L101
Blue Christmas,The Accelerators,L101
A Treasury Of Great Contemporary Hits,Various,Soundtracks
BaBa Lou At Bob's,BaBa Lou,L103
Girl With The Golden Eyes,Aeron (2),L101
Living Room Suite,Harry Chapin,L109
To Be With You,Tony Orlando & Dawn,L141
The Compleat Tom Paxton (Recorded Live),Tom Paxton,L142
Your Greatest Shade Of Blue,The Adventures,L101
Umbabarauma,Ambitious Lovers,L101
American Gothic,David Ackles,L101
All The News That's Fit To Sing,Phil Ochs,L141
Ars Nova,Ars Nova (3),L102
David Ackles,David Ackles,L101
Subway To The Country,David Ackles,L101
Death Walks Behind You,Atomic Rooster,L102
The House On The Hill,Audience (2),L102
The Alabama State Troupers Road Show,"The Alabama State Troupers, Don Nix, Jeanie Greene, Furry Lewis, The Mt. Zion Band, Mount Zion Singers",L101
Lunch,Audience (2),L102
Aztec Two-Step,Aztec Two-Step,L103
Trading Secrets With The Moon,The Adventures,L101
Airwaves,Badfinger,L103
Air,Air (10),L101
Balin,Marty Balin,L103
Castles In Spain,The Armoury Show,L102
Sons Of Beaches,Australian Crawl,L103
Aviator,Aviator (2),L103
Baldry's Out!,Long John Baldry,L103
Baldry's Out!,Long John Baldry,L103
Long John Baldry,Long John Baldry,L103
Paradise In Gazankulu,Harry Belafonte,SEALED
Richard Marx,Richard Marx,L136
Alan Freed's Memory Lane,Various,Soundtracks
Roscoe's Gang,Eric Ambel,L101
Patchouli,Big Ben Atkins,L102
The Argent - Anthology,Argent,L102
Antmusic,Adam And The Ants,L101
Soul On Fire,Anything Box,L102
Stand & Deliver!,Adam And The Ants,L101
Dancing In The Shadows,After The Fire,L101
Prince Charming,Adam And The Ants,L101
Night Attack,Angel City (2),L102
Hello I Love You,Adam Ant,L102
Friend Or Foe,Adam Ant,L102
Symphony No. 7 In C Major,"Franz Schubert, The Cleveland Orchestra, George Szell","Upstairs, classical"
Truth,Jeff Beck,WHITE BLANK COVER
Argent,Argent,L102
Ring Of Hands,Argent,L102
Generation Clash,Accept,L101
Six Days In Berlin,Mike Batt,L103
Friend Or Foe,Adam Ant,L102
Dirk Wears White Sox,Adam And The Ants,L101
Strip,Adam Ant,L102
Eat The Heat,Accept,L101
Face To Face,Angel City (2),L102
Darkroom,Angel City (2),L102
All Together Now,Argent,L102
Bearfoot,Bearfoot,L104
In Deep,Argent,L102
Nexus,Argent,L102
Asleep At The Wheel,Asleep At The Wheel,L102
Russ Ballard,Russ Ballard,L103
Kings Of The Wild Frontier,Adam And The Ants,L101
Blow By Blow,Jeff Beck,2ND COPY
Circus,Argent,L102
Angelle,Angelle (2),L102
Encore,Argent,L102
Thriller,Michael Jackson,L125
Into The Fire,"Russ Ballard, The Barnet Dogs",L103
Boston,Boston,L107
Romeo's Escape,Dave Alvin,L101
Aviary,Aviary,L103
Always Foreign,The World Is A Beautiful Place & I Am No Longer Afraid To Die,L164
Asleep Within Waves,Autumn Cathedral,L103
Great Hits Of The 60's,Various,Soundtracks
Aataché,Aataché,L101
Beast,Beast (10),L104
Rev It Up / Texas / Jump The Funk,Bad Mutha Goose And The Brothers Grimm,L103
Knife Slits Water,A Certain Ratio,L101
Force,A Certain Ratio,L101
Metamorphism,Curse (11),L112
Peter Anders,Peter Anders,L101
Album De Oro,Yaco Monti,Ecuador
Creedence Clearwater Revival 1970,Creedence Clearwater Revival,L108
Angelo,Angelo (21),L102
Midnight Prowl,Angelo (21),L102
Amadeus (Original Soundtrack Recording),"Wolfgang Amadeus Mozart, Sir Neville Marriner, The Academy Of St. Martin-in-the-Fields",soundtracks
Please World,Abel (11),L101
Bangles,Bangles,L103
Resurrection,Aum (2),L103
Until Now,Bobby Arvon,L102
Dress For Obscurity (One Of The Unlucky Medium Bombers),Battery Farley,L103
An Evening With Arthur Fiedler And The Boston Pops,"Arthur Fiedler, The Boston Pops Orchestra",L118
The American Revolution,The American Revolution,L101
Waking Up In The Sun,Adult Net,L101
Abbreviated Ceiling,Abbreviated Ceiling,L101
Abbreviated Ceiling,Abbreviated Ceiling,L101
Bad Thing,Bad Thing,L103
Blowtorch.,A.C. Temple,L101
Asia,Asia (2),L102
Alpha,Asia (2),L102
Apollo,Apollo (2),L102
In Transit,Atma (5),L102
Hit And Run,Johnny Avalanche,L103 UNOPENED!!!!
The Restless Stranger,American Music Club,L101
Stroll On,Steve Ashley,L102
Speedy Return,Steve Ashley,L102
Batfish Brew,The Batfish Boys,L103
Too Late At 20,The Act (6),L101
On To Mayday,Amoebas In Chaos,L101
Singing The Blues,Marty Robbins,L132
The Best Of Babe Ruth,Babe Ruth,L103
Babe Ruth,Babe Ruth,L103
Sunburst Finish,Be Bop Deluxe,2nd copy
Sundowners,Wendel Adkins,L101
Born To Be Raised,Bruce Baum,L103
Slang,The Action Figures,L101
How Big I Heart,Airhead (8),L101
I Need / Dame Amor,Armband,L102
Staying Out Late With,Beat Rodeo,L104
Staying Out Late With,Beat Rodeo,L104
Electric Folklore Live,The Alarm,L101
Curtains,Balancing Act,L103
Strength,The Alarm,L101
American Girls,American Girls,L101
Sold Me Down The River,The Alarm,L101
Animal Logic,Animal Logic,L102
Strength,The Alarm,L101
Absolute Reality,The Alarm,L101
Goodbye And Amen,American Girls,L101
Ark,The Animals,L102
Life Is A Grand,Henry Badowski,L103
War Stories,Apache Dancers,L102
The Deceiver,The Alarm,L101
Sings The Old & New Of Bill And Gloria Gaither,Doug Oldham,"Upstairs, left half, near ""world music"" post it"
Now Is Reaction,Bad Bob,L103
Good News About Mental Health,The Afflicted (2),L101
Who Loves You Baby...,Baby Hotel Hunger,L103
The Confessions Of Dr. Dream And Other Stories,Kevin Ayers,L103
"June 1, 1974","Kevin Ayers, John Cale, Brian Eno, Nico (3)",L103
American Standard Band,American Standard Band,L101
Evensong,Amazing Blondel,L101
Blondel,Amazing Blondel,L101
England,Amazing Blondel,L101
Reebop,Rebop Kwaku Baah,L103
Fantasia Lindum,Amazing Blondel,L101
Automatic Man,Automatic Man,L103
Wait For Me,Long John Baldry,L103
 A Rusty Old Halo,Hoyt Axton,L103
Vanessa Bell Armstrong,Vanessa Bell Armstrong,L102
Flash-Back Greats Of The 60's,Various,L141
Sense And Sensuality,Au Pairs,L103
A One Note Man,Paul Arnoldi,L102
Strangest Feeling,James Anderson (45),L101
Move Out,Another Nation (2),L102
Dreams And Images,Arthur Lee Harper,L102
Rebel Heart,Dan Seals,"Upstairs right half near ""world music"" post-it"
Arc,Arc (16),L102
All Systems Are Go,The Archers (3),L102
Mentalenema,The Abs,L101
Bachelors' Girls,The Bachelors,L103
Let It Bleed,The Rolling Stones,"L148 near Rolling Stones label in a ""between the buttons"" sleeve"
